GE;PE;CL;AV;planta;nota;Y
Arapongas;tangerina_sunki;18;2;3;0,5;0,12
Arapongas;tangerina_sunki;18;2;4;0;0
Arapongas;tangerina_sunki;18;2;5;0;0
Arapongas;tangerina_sunki;18;2;6;0;0
Arapongas;tangerina_sunki;18;2;7;0;0
Arapongas;tangerina_sunki;18;2;8;0;0
Arapongas;tangerina_sunki;18;2;9;0;0
Arapongas;tangerina_sunki;18;2;10;0;0
Arapongas;tangerina_sunki;18;3;1;0;0
Arapongas;tangerina_sunki;18;3;2;0,1;0,023
Arapongas;tangerina_sunki;18;3;3;0,1;0,057
Arapongas;tangerina_sunki;18;3;4;1,5;0,385
Arapongas;tangerina_sunki;18;3;5;0;0
Arapongas;tangerina_sunki;18;3;6;0;0
Arapongas;tangerina_sunki;18;3;7;0;0
Arapongas;tangerina_sunki;18;3;8;0;0
Arapongas;tangerina_sunki;18;3;9;0;0
Arapongas;tangerina_sunki;18;3;10;0;0
Arapongas;tangerina_sunki;18;4;1;0;0
Arapongas;tangerina_sunki;18;4;2;0;0
Arapongas;tangerina_sunki;18;4;3;1;0,091
Arapongas;tangerina_sunki;18;4;4;0;0
Arapongas;tangerina_sunki;18;4;5;0;0
Arapongas;tangerina_sunki;18;4;6;0;0
Arapongas;tangerina_sunki;18;4;7;0;0
Arapongas;tangerina_sunki;18;4;8;0;0
Arapongas;tangerina_sunki;18;4;9;0;0
Arapongas;tangerina_sunki;18;4;10;0;0
Arapongas;tangerina_sunki;18;5;1;0,8;0,25
Arapongas;tangerina_sunki;18;5;2;0,3;0,167
Arapongas;tangerina_sunki;18;5;3;0,4;0,091
Arapongas;tangerina_sunki;18;5;4;0,3;0,074
Arapongas;tangerina_sunki;18;5;5;0;0
Arapongas;tangerina_sunki;18;5;6;0;0
Arapongas;tangerina_sunki;18;5;7;0;0
Arapongas;tangerina_sunki;18;5;8;0,1;0,056
Arapongas;tangerina_sunki;18;5;9;0,7;0,25
Arapongas;tangerina_sunki;18;5;10;0;0
Arapongas;tangerina_sunki;18;6;1;0;0
Arapongas;tangerina_sunki;18;6;2;0,5;0,036
Arapongas;tangerina_sunki;18;6;3;0,3;0,158
Arapongas;tangerina_sunki;18;6;4;0;0
Arapongas;tangerina_sunki;18;6;5;0;0
Arapongas;tangerina_sunki;18;6;6;0;0
Arapongas;tangerina_sunki;18;6;7;0;0
Arapongas;tangerina_sunki;18;6;8;0;0
Arapongas;tangerina_sunki;18;6;9;0;0
Arapongas;tangerina_sunki;18;6;10;0,1;0,038
IpiguaIAC;tangerina_cleopatra;19;2;1;0;0
IpiguaIAC;tangerina_cleopatra;19;2;2;0;0
IpiguaIAC;tangerina_cleopatra;19;2;3;0;0
IpiguaIAC;tangerina_cleopatra;19;2;4;0;0
IpiguaIAC;tangerina_cleopatra;19;2;5;0;0
IpiguaIAC;tangerina_cleopatra;19;2;6;0,5;0,042
IpiguaIAC;tangerina_cleopatra;19;2;7;0;0
IpiguaIAC;tangerina_cleopatra;19;2;8;0;0
IpiguaIAC;tangerina_cleopatra;19;2;9;0;0
IpiguaIAC;tangerina_cleopatra;19;2;10;0;0
IpiguaIAC;tangerina_cleopatra;19;3;1;0;0
IpiguaIAC;tangerina_cleopatra;19;3;2;0;0
IpiguaIAC;tangerina_cleopatra;19;3;3;0;0
IpiguaIAC;tangerina_cleopatra;19;3;4;0;0
IpiguaIAC;tangerina_cleopatra;19;3;5;0;0
IpiguaIAC;tangerina_cleopatra;19;3;6;0;0
IpiguaIAC;tangerina_cleopatra;19;3;7;0;0
IpiguaIAC;tangerina_cleopatra;19;3;8;1;0,19
IpiguaIAC;tangerina_cleopatra;19;3;9;0;0
IpiguaIAC;tangerina_cleopatra;19;3;10;0;0
IpiguaIAC;tangerina_cleopatra;19;4;1;0;0
IpiguaIAC;tangerina_cleopatra;19;4;2;0;0
IpiguaIAC;tangerina_cleopatra;19;4;3;0;0
IpiguaIAC;tangerina_cleopatra;19;4;4;0;0
IpiguaIAC;tangerina_cleopatra;19;4;5;0;0
IpiguaIAC;tangerina_cleopatra;19;4;6;0;0
IpiguaIAC;tangerina_cleopatra;19;4;7;0;0
IpiguaIAC;tangerina_cleopatra;19;4;8;0;0
IpiguaIAC;tangerina_cleopatra;19;4;9;0;0
IpiguaIAC;tangerina_cleopatra;19;4;10;0;0
IpiguaIAC;tangerina_cleopatra;19;5;1;0;0
IpiguaIAC;tangerina_cleopatra;19;5;2;0,5;0,073
IpiguaIAC;tangerina_cleopatra;19;5;3;0;0
IpiguaIAC;tangerina_cleopatra;19;5;4;0;0
IpiguaIAC;tangerina_cleopatra;19;5;5;0;0
IpiguaIAC;tangerina_cleopatra;19;5;6;0;0
IpiguaIAC;tangerina_cleopatra;19;5;7;0;0
IpiguaIAC;tangerina_cleopatra;19;5;8;0;0
IpiguaIAC;tangerina_cleopatra;19;5;9;0;0
IpiguaIAC;tangerina_cleopatra;19;5;10;0;0
IpiguaIAC;tangerina_cleopatra;19;6;1;0;0
IpiguaIAC;tangerina_cleopatra;19;6;2;0,5;0,063
IpiguaIAC;tangerina_cleopatra;19;6;3;0;0
IpiguaIAC;tangerina_cleopatra;19;6;4;0;0
IpiguaIAC;tangerina_cleopatra;19;6;5;0,3;0,03
IpiguaIAC;tangerina_cleopatra;19;6;6;0;0
IpiguaIAC;tangerina_cleopatra;19;6;7;0;0
IpiguaIAC;tangerina_cleopatra;19;6;8;0;0
IpiguaIAC;tangerina_cleopatra;19;6;9;0;0
IpiguaIAC;tangerina_cleopatra;19;6;10;0;0
IAC;tangerina_cleopatra;20;2;1;0;0
IAC;tangerina_cleopatra;20;2;2;0;0
IAC;tangerina_cleopatra;20;2;3;0;0
IAC;tangerina_cleopatra;20;2;4;0;0
IAC;tangerina_cleopatra;20;2;5;0;0
IAC;tangerina_cleopatra;20;2;6;0;0
IAC;tangerina_cleopatra;20;2;7;0;0
IAC;tangerina_cleopatra;20;2;8;0;0
IAC;tangerina_cleopatra;20;2;9;0;0
IAC;tangerina_cleopatra;20;2;10;0,5;0,024
IAC;tangerina_cleopatra;20;3;1;0;0
IAC;tangerina_cleopatra;20;3;2;0;0
IAC;tangerina_cleopatra;20;3;3;0;0
IAC;tangerina_cleopatra;20;3;4;0,5;0,104
IAC;tangerina_cleopatra;20;3;5;0;0
IAC;tangerina_cleopatra;20;3;6;0;0
IAC;tangerina_cleopatra;20;3;7;0;0
IAC;tangerina_cleopatra;20;3;8;0;0
IAC;tangerina_cleopatra;20;3;9;1;0,074
IAC;tangerina_cleopatra;20;3;10;0;0
IAC;tangerina_cleopatra;20;4;1;0;0
IAC;tangerina_cleopatra;20;4;2;0;0
IAC;tangerina_cleopatra;20;4;3;0;0
IAC;tangerina_cleopatra;20;4;4;0;0
IAC;tangerina_cleopatra;20;4;5;0;0
IAC;tangerina_cleopatra;20;4;6;0;0
